time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443349642	1.1089e-316	4.94066e-324	2.122e-314	4.05134e-322	0	lidar	6.94947e-310	0	0	0	0	0	0
1477010443349642	0	0	0	0	0	radar	6.94947e-310	0	0	0	0	0	0
1477010444349642	1.55945	-0.138501	0.1	0.1	0.1	lidar	6.94947e-310	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339
1477010444349642	1.55945	-0.138501	0.1	0.1	0.1	radar	6.94947e-310	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339
1477010445349642	1.63268	-0.127599	0.1	0.2	0.1	lidar	6.94947e-310	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323
1477010445349642	1.63268	-0.127599	0.1	0.2	0.1	radar	6.94947e-310	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323
1477010446349642	1.67455	-0.117314	0.1	0.3	0.1	lidar	6.94947e-310	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847
1477010446349642	1.67455	-0.117314	0.1	0.3	0.1	radar	6.94947e-310	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847
1477010447349642	1.70342	-0.107921	0.1	0.4	0.1	lidar	6.94947e-310	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526
1477010447349642	1.70342	-0.107921	0.1	0.4	0.1	radar	6.94947e-310	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526
1477010448349642	1.73823	-0.099642	0.1	0.5	0.1	lidar	6.94947e-310	11.5756	1.6669	11.3468	1.427	2.49328	0.600781
1477010448349642	1.73823	-0.099642	0.1	0.5	0.1	radar	6.94947e-310	11.4447	1.42958	11.3468	1.427	2.49328	0.600781
1477010449349642	1.76366	-0.131146	0.1	0.6	0.1	lidar	6.94947e-310	13.5921	2.31191	13.827	2.07905	2.5429	0.724947
1477010449349642	1.76366	-0.131146	0.1	0.6	0.1	radar	6.94947e-310	13.6572	1.99915	13.827	2.07905	2.5429	0.724947
1477010450349642	1.80064	-0.177257	0.1	0.7	0.1	lidar	6.94947e-310	16.6456	2.903	16.3554	2.85243	2.58284	0.844365
1477010450349642	1.80064	-0.177257	0.1	0.7	0.1	radar	6.94947e-310	16.282	2.84648	16.3554	2.85243	2.58284	0.844365
